x, y, v
-0.98, -0.986667, 0
-0.973333, -0.986667, 0
-0.966667, -0.986667, 0
-0.96, -0.986667, 0
-0.953333, -0.986667, 0
-0.946667, -0.986667, 0
-0.94, -0.986667, 0
-0.933333, -0.986667, 0
-0.926667, -0.986667, 0
-0.92, -0.986667, 0
-0.913333, -0.986667, 0
-0.906667, -0.986667, 0
-0.9, -0.986667, 0
-0.893333, -0.986667, 0
-0.886667, -0.986667, 0
-0.88, -0.986667, 0
-0.873333, -0.986667, 0
-0.866667, -0.986667, 0
-0.86, -0.986667, 0
-0.853333, -0.986667, 0
-0.846667, -0.986667, 0
-0.84, -0.986667, 0
-0.833333, -0.986667, 0
-0.826667, -0.986667, 0
-0.82, -0.986667, 0
-0.813333, -0.986667, 0
-0.806667, -0.986667, 0
-0.8, -0.986667, 0
-0.793333, -0.986667, 0
-0.786667, -0.986667, 0
-0.78, -0.986667, 0
-0.773333, -0.986667, 0
-0.766667, -0.986667, 0
-0.76, -0.986667, 0
-0.753333, -0.986667, 0
-0.746667, -0.986667, 0
-0.74, -0.986667, 0
-0.733333, -0.986667, 0
-0.726667, -0.986667, 0
-0.72, -0.986667, 0
-0.713333, -0.986667, 0
-0.706667, -0.986667, 0
-0.7, -0.986667, 0
-0.693333, -0.986667, 0
-0.686667, -0.986667, 0
-0.68, -0.986667, 0
-0.673333, -0.986667, 0
-0.666667, -0.986667, 0
-0.66, -0.986667, 0
-0.653333, -0.986667, 0
-0.646667, -0.986667, 0
-0.64, -0.986667, 0
-0.633333, -0.986667, 0
-0.626667, -0.986667, 0
-0.62, -0.986667, 0
-0.613333, -0.986667, 0
-0.606667, -0.986667, 0
-0.6, -0.986667, 0
-0.593333, -0.986667, 0
-0.586667, -0.986667, 0
-0.58, -0.986667, 0
-0.573333, -0.986667, 0
-0.566667, -0.986667, 0
-0.56, -0.986667, 0
-0.553333, -0.986667, 0
-0.546667, -0.986667, 0
-0.54, -0.986667, 0
-0.533333, -0.986667, 0
-0.526667, -0.986667, 0
-0.52, -0.986667, 0
-0.513333, -0.986667, 0
-0.506667, -0.986667, 0
-0.5, -0.986667, 0
-0.493333, -0.986667, 0
-0.486667, -0.986667, 0
-0.48, -0.986667, 0
-0.473333, -0.986667, 0
-0.466667, -0.986667, 0
-0.46, -0.986667, 0
-0.453333, -0.986667, 0
-0.446667, -0.986667, 0
-0.44, -0.986667, 0
-0.433333, -0.986667, 0
-0.426667, -0.986667, 0
-0.42, -0.986667, 0
-0.413333, -0.986667, 0
-0.406667, -0.986667, 0
-0.4, -0.986667, 0
-0.393333, -0.986667, 0
-0.386667, -0.986667, 0
-0.38, -0.986667, 0
-0.373333, -0.986667, 0
-0.366667, -0.986667, 0
-0.36, -0.986667, 0
-0.353333, -0.986667, 0
-0.346667, -0.986667, 0
-0.34, -0.986667, 0
-0.333333, -0.986667, 0
-0.326667, -0.986667, 0
-0.32, -0.986667, 0
-0.313333, -0.986667, 0
-0.306667, -0.986667, 0
-0.3, -0.986667, 0
-0.293333, -0.986667, 0
-0.286667, -0.986667, 0
-0.28, -0.986667, 0
-0.273333, -0.986667, 0
-0.266667, -0.986667, 0
-0.26, -0.986667, 0
-0.253333, -0.986667, 0
-0.246667, -0.986667, 0
-0.24, -0.986667, 0
-0.233333, -0.986667, 0
-0.226667, -0.986667, 0
-0.22, -0.986667, 0
-0.213333, -0.986667, 0
-0.206667, -0.986667, 0
-0.2, -0.986667, 0
-0.193333, -0.986667, 0
-0.186667, -0.986667, 0
-0.18, -0.986667, 0
-0.173333, -0.986667, 0
-0.166667, -0.986667, 0
-0.16, -0.986667, 5.28193e-177
-0.153333, -0.986667, 1.66759e-175
-0.146667, -0.986667, 1.47917e-174
-0.14, -0.986667, 9.471e-174
-0.133333, -0.986667, 5.08943e-173
-0.126667, -0.986667, 2.40502e-172
-0.12, -0.986667, 1.01982e-171
-0.113333, -0.986667, 3.92285e-171
-0.106667, -0.986667, 1.37796e-170
-0.1, -0.986667, 4.43975e-170
-0.0933333, -0.986667, 1.31625e-169
-0.0866667, -0.986667, 3.599e-169
-0.08, -0.986667, 9.09211e-169
-0.0733333, -0.986667, 2.12516e-168
-0.0666667, -0.986667, 4.60094e-168
-0.06, -0.986667, 9.2346e-168
-0.0533333, -0.986667, 1.7196e-167
-0.0466667, -0.986667, 2.97261e-167
-0.04, -0.986667, 4.77268e-167
-0.0333333, -0.986667, 7.11999e-167
-0.0266667, -0.986667, 9.87254e-167
-0.02, -0.986667, 1.27269e-166
-0.0133333, -0.986667, 1.52562e-166
-0.00666667, -0.986667, 1.70082e-166
6.41848e-17, -0.986667, 1.76356e-166
0.00666667, -0.986667, 1.70082e-166
0.0133333, -0.986667, 1.52562e-166
0.02, -0.986667, 1.27269e-166
0.0266667, -0.986667, 9.87254e-167
0.0333333, -0.986667, 7.11999e-167
0.04, -0.986667, 4.77268e-167
0.0466667, -0.986667, 2.97261e-167
0.0533333, -0.986667, 1.7196e-167
0.06, -0.986667, 9.2346e-168
0.0666667, -0.986667, 4.60094e-168
0.0733333, -0.986667, 2.12516e-168
0.08, -0.986667, 9.09211e-169
0.0866667, -0.986667, 3.599e-169
0.0933333, -0.986667, 1.31625e-169
0.1, -0.986667, 4.43975e-170
0.106667, -0.986667, 1.37796e-170
0.113333, -0.986667, 3.92285e-171
0.12, -0.986667, 1.01982e-171
0.126667, -0.986667, 2.40502e-172
0.133333, -0.986667, 5.08943e-173
0.14, -0.986667, 9.471e-174
0.146667, -0.986667, 1.47917e-174
0.153333, -0.986667, 1.66759e-175
0.16, -0.986667, 5.28193e-177
0.166667, -0.986667, 0
0.173333, -0.986667, 0
0.18, -0.986667, 0
0.186667, -0.986667, 0
0.193333, -0.986667, 0
0.2, -0.986667, 0
0.206667, -0.986667, 0
0.213333, -0.986667, 0
0.22, -0.986667, 0
0.226667, -0.986667, 0
0.233333, -0.986667, 0
0.24, -0.986667, 0
0.246667, -0.986667, 0
0.253333, -0.986667, 0
0.26, -0.986667, 0
0.266667, -0.986667, 0
0.273333, -0.986667, 0
0.28, -0.986667, 0
0.286667, -0.986667, 0
0.293333, -0.986667, 0
0.3, -0.986667, 0
0.306667, -0.986667, 0
0.313333, -0.986667, 0
0.32, -0.986667, 0
0.326667, -0.986667, 0
0.333333, -0.986667, 0
0.34, -0.986667, 0
0.346667, -0.986667, 0
0.353333, -0.986667, 0
0.36, -0.986667, 0
0.366667, -0.986667, 0
0.373333, -0.986667, 0
0.38, -0.986667, 0
0.386667, -0.986667, 0
0.393333, -0.986667, 0
0.4, -0.986667, 0
0.406667, -0.986667, 0
0.413333, -0.986667, 0
0.42, -0.986667, 0
0.426667, -0.986667, 0
0.433333, -0.986667, 0
0.44, -0.986667, 0
0.446667, -0.986667, 0
0.453333, -0.986667, 0
0.46, -0.986667, 0
0.466667, -0.986667, 0
0.473333, -0.986667, 0
0.48, -0.986667, 0
0.486667, -0.986667, 0
0.493333, -0.986667, 0
0.5, -0.986667, 0
0.506667, -0.986667, 0
0.513333, -0.986667, 0
0.52, -0.986667, 0
0.526667, -0.986667, 0
0.533333, -0.986667, 0
0.54, -0.986667, 0
0.546667, -0.986667, 0
0.553333, -0.986667, 0
0.56, -0.986667, 0
0.566667, -0.986667, 0
